E,mean,gt_to_sim_mean,sim_to_gt_mean,gt_to_sim_rmse,sim_to_gt_rmse,gt_to_sim_max,sim_to_gt_max,num_gt,num_sim,screenshot
25800000.0,0.0037762142109867094,0.0043254668214331325,0.0032269616005402863,0.004606141732544945,0.0035759182787773883,0.009485131382764429,0.008513112300575639,1218,375,results_fitE_flying_carpet\fb_surface_E_2.58e+07.png
25900000.0,0.0037383083781371493,0.004289573509835389,0.00318704324643891,0.004563426155344765,0.0035242182937601633,0.009400705014136077,0.008389950122242643,1218,375,results_fitE_flying_carpet\fb_surface_E_2.59e+07.png
26000000.0,0.0037011128183621843,0.004254416449822967,0.003147809186901402,0.004521800368471996,0.0034735556500520744,0.009318213912703134,0.008268116879367678,1218,375,results_fitE_flying_carpet\fb_surface_E_2.60e+07.png
26100000.0,0.003664662411159928,0.004220006586917271,0.0031093182354025857,0.004481273464987972,0.0034239961006038216,0.009237658363821611,0.008147613642468845,1218,375,results_fitE_flying_carpet\fb_surface_E_2.61e+07.png
26200000.0,0.0036289558704477192,0.00418634797986153,0.003071563761033909,0.004441846880466236,0.003375533289631001,0.00915903848362392,0.008028442066984236,1218,375,results_fitE_flying_carpet\fb_surface_E_2.62e+07.png
26300000.0,0.003593972116091067,0.004153445057117876,0.0030344991750642578,0.004403521857863203,0.00332812749509336,0.009082354182858136,0.00791060439611402,1218,375,results_fitE_flying_carpet\fb_surface_E_2.63e+07.png
26400000.0,0.0035597144441528125,0.004121302618805593,0.002998126269500032,0.004366299425246457,0.003281805403327815,0.009007605142561584,0.007794103482430326,1218,375,results_fitE_flying_carpet\fb_surface_E_2.64e+07.png
26500000.0,0.003526223237621042,0.004089912560434729,0.0029625339148073547,0.004330160001172709,0.003236636112381418,0.008934790763185901,0.0076789427889038435,1218,375,results_fitE_flying_carpet\fb_surface_E_2.65e+07.png
26600000.0,0.0034935056821224723,0.004059286093888751,0.0029277252703561935,0.004295116922878451,0.003192615593710459,0.008863910157946488,0.007565126430321494,1218,375,results_fitE_flying_carpet\fb_surface_E_2.66e+07.png
26700000.0,0.003461569284879156,0.004029436321523734,0.002893702248234579,0.004261178065769798,0.003149736825415646,0.008794962097998188,0.0074526591644643895,1218,375,results_fitE_flying_carpet\fb_surface_E_2.67e+07.png
26800000.0,0.0034304247053734364,0.004000367923598623,0.002860481487148249,0.0042283416636474894,0.0031080401489996363,0.008775677327010541,0.007341546431923631,1218,375,results_fitE_flying_carpet\fb_surface_E_2.68e+07.png
26900000.0,0.003400066377389398,0.003972080791743001,0.002828051963035795,0.0041966003243702294,0.0030675231011676202,0.008775599562119245,0.007231794347599634,1218,375,results_fitE_flying_carpet\fb_surface_E_2.69e+07.png
27000000.0,0.0033705233613620404,0.003944582849197803,0.002796463873526278,0.004165953788099329,0.003028227222308153,0.008775522024159018,0.007123409744315219,1218,375,results_fitE_flying_carpet\fb_surface_E_2.70e+07.png
27100000.0,0.003319047794610828,0.003896609525418476,0.0027414860638031798,0.004113098421562136,0.002960527510344672,0.00877540237118431,0.006933117414649401,1218,375,results_fitE_flying_carpet\fb_surface_E_2.71e+07.png
27200000.0,0.00329168358107289,0.0038712540481286384,0.0027121131140171416,0.004085417968874681,0.002924497606088726,0.00877532511738542,0.006828245696015627,1218,375,results_fitE_flying_carpet\fb_surface_E_2.72e+07.png
27300000.0,0.0032651414153801036,0.003846718543090288,0.00268356428766992,0.004058837086141078,0.0028897094305677115,0.00877524809794845,0.006724783394342886,1218,375,results_fitE_flying_carpet\fb_surface_E_2.73e+07.png
27400000.0,0.003239451133452925,0.003823005904800973,0.0026558963621048774,0.0040333497451470555,0.0028562037544863595,0.008775171313999026,0.006700851410440993,1218,375,results_fitE_flying_carpet\fb_surface_E_2.74e+07.png
27500000.0,0.003214623470256716,0.003800126613400519,0.0026291203271129127,0.004008960120456644,0.0028239924489874475,0.008775094766574842,0.006701788662923833,1218,375,results_fitE_flying_carpet\fb_surface_E_2.75e+07.png
27600000.0,0.003190660023785297,0.0037780796849902335,0.0026032403625803613,0.003985655827268465,0.002793081182063404,0.008775018456669736,0.006702719878614033,1218,375,results_fitE_flying_carpet\fb_surface_E_2.76e+07.png
27700000.0,0.003167579393274216,0.0037568731006683213,0.0025782856858801106,0.003963435991323613,0.002763501454390545,0.00877494238520742,0.006703645114104457,1218,375,results_fitE_flying_carpet\fb_surface_E_2.77e+07.png
27800000.0,0.0031453924257446196,0.00373651653580083,0.0025542683156884096,0.003942300842851581,0.0027352643592185996,0.008774866553019517,0.006704564425234004,1218,375,results_fitE_flying_carpet\fb_surface_E_2.78e+07.png
27900000.0,0.003124107374046852,0.0037170134496266926,0.002531201298467012,0.0039222412466902775,0.002708380094963983,0.00877479096098035,0.006705477867458963,1218,375,results_fitE_flying_carpet\fb_surface_E_2.79e+07.png
28000000.0,0.003103674571418114,0.003698369196045278,0.0025089799467909496,0.0039032500252460978,0.0026826835097320217,0.008774715609793808,0.006706385495270756,1218,375,results_fitE_flying_carpet\fb_surface_E_2.80e+07.png
28100000.0,0.003084108448112333,0.003680588801956098,0.002487628094268568,0.0038853188445212876,0.002658223230541816,0.00877464050018059,0.00670728736263341,1218,375,results_fitE_flying_carpet\fb_surface_E_2.81e+07.png
28200000.0,0.0030654695351936545,0.003663678082130366,0.0024672609882569435,0.0038684414251799466,0.0026351323285281605,0.008774565632774966,0.006708183522942638,1218,375,results_fitE_flying_carpet\fb_surface_E_2.82e+07.png
28300000.0,0.0030477425192603795,0.003647643374254088,0.0024478416642666704,0.003852609799737375,0.0026132962496486544,0.008774491008138364,0.006709074028702053,1218,375,results_fitE_flying_carpet\fb_surface_E_2.83e+07.png
28400000.0,0.003030972027934669,0.00363249702814309,0.0024294470277262488,0.003837821882104193,0.0025928440735566083,0.008774416626891749,0.006709958932187097,1218,375,results_fitE_flying_carpet\fb_surface_E_2.84e+07.png
